Language	Language (local)	Wiki	Articles	Total pages	Edits	Admins	Users	Active users	Images	Depth
English	English	en	6,548,566	56,484,785	1,104,305,901	1,033	44,127,489	116,809	893,625	1,136
Cebuano	Cebuano	ceb	6,125,794	11,232,252	34,883,815	6	94,037	170	0	2
German	Deutsch	de	2,722,248	7,516,093	224,464,924	189	3,988,607	16,954	128,242	92
Swedish	svenska	sv	2,552,823	6,124,174	51,063,132	66	834,063	2,060	0	16
French	français	fr	2,453,183	12,178,419	196,300,002	158	4,459,280	16,702	68,480	253
Dutch	Nederlands	nl	2,100,594	4,471,747	62,582,553	36	1,228,079	3,504	20	17
Russian	русский	ru	1,851,341	7,430,453	125,028,477	75	3,241,552	10,454	238,316	152
Spanish	español	es	1,800,262	7,723,225	145,359,555	63	6,632,151	13,615	0	203
Italian	italiano	it	1,770,608	7,507,660	128,915,509	122	2,290,327	7,564	137,907	180
Egyptian Arabic	مصرى	arz	1,598,546	2,015,985	7,350,011	7	190,128	212	1,479	0
Polish	polski	pl	1,534,863	3,533,602	67,866,016	101	1,189,853	3,970	261	32
Japanese	日本語	ja	1,341,579	3,963,698	91,149,125	41	1,975,485	14,986	29,503	87
Mandarin	中文	zh	1,302,214	7,140,983	73,248,181	66	3,259,113	8,588	60,998	206
Vietnamese	Tiếng Việt	vi	1,276,034	19,379,874	69,026,737	20	879,353	2,095	24,628	716
Waray	Winaray	war	1,265,948	2,881,798	6,287,801	3	53,072	67	42	3
Ukrainian	українська	uk	1,192,407	4,141,870	36,974,491	45	642,252	3,062	110,553	54
Arabic	العربية	ar	1,185,316	7,827,574	59,092,279	26	2,298,395	4,635	50,121	237
Portuguese	português	pt	1,094,831	5,411,654	64,169,641	54	2,801,735	8,231	58,345	184
Persian	فارسی	fa	927,746	5,354,177	35,440,007	34	1,147,408	5,155	82,055	150
Catalan	català	ca	709,731	1,768,908	30,566,375	30	427,634	985	15,631	38
Serbian	српски / srpski	sr	662,401	3,989,558	25,168,046	19	311,592	675	36,576	159
Indonesian	Bahasa Indonesia	id	628,144	3,303,946	21,599,724	44	1,350,673	3,214	47,656	118
Korean	한국어	ko	604,641	2,745,202	33,202,528	27	751,572	1,713	12,688	151
Norwegian (Bokmål)	norsk	no	597,575	1,702,239	22,892,607	44	560,737	1,186	4	45
Finnish	suomi	fi	538,243	1,413,162	20,718,377	32	522,337	1,699	70,799	38
Turkish	Türkçe	tr	517,437	2,394,790	28,436,979	24	1,424,547	2,822	37,654	156
Hungarian	magyar	hu	511,744	1,451,853	25,185,286	24	511,890	1,551	8,467	58
Czech	čeština	cs	509,574	1,408,226	21,617,617	33	588,361	2,124	1	47
Chechen	нохчийн	ce	482,856	909,803	8,698,674	3	30,933	54	315	7
Serbo-Croatian	srpskohrvatski / српскохрватски	sh	456,930	4,644,441	41,244,186	12	176,898	176	10,244	745
Romanian	română	ro	433,267	2,624,644	15,036,665	17	593,302	842	116,547	146
Southern Min	Bân-lâm-gú	zh-min-nan	431,739	1,063,567	3,137,922	6	54,213	81	362	6
Tatar	татарча/tatarça	tt	417,627	565,183	3,536,388	5	43,379	82	6,114	0
Basque	euskara	eu	398,154	827,571	9,013,390	12	139,186	261	0	12
Malay	Bahasa Melayu	ms	360,306	1,042,703	5,648,196	15	299,581	543	19,611	19
Esperanto	Esperanto	eo	324,017	723,118	7,697,443	16	200,222	318	11,324	16
Hebrew	עברית	he	321,740	1,345,236	34,566,979	32	1,001,700	3,002	74,222	260
Armenian	հայերեն	hy	293,243	989,864	8,493,203	11	124,470	393	11,369	48
Danish	dansk	da	284,562	909,440	11,212,114	25	436,957	812	0	59
Bulgarian	български	bg	284,262	633,318	11,495,002	25	312,489	689	537	27
South Azerbaijani	تۆرکجه	azb	242,411	572,399	1,525,543	5	38,285	118	246	4
Slovak	slovenčina	sk	241,919	549,968	7,409,902	10	222,483	512	0	21
Kazakh	қазақша	kk	232,195	588,764	3,070,057	16	121,453	209	10,544	12
Estonian	eesti	et	230,034	543,208	6,181,137	34	168,979	431	758	21
Minangkabau	Minangkabau	min	225,667	385,602	2,445,031	5	16,233	68	177	3
Belarusian	беларуская	be	222,524	649,004	4,193,993	11	121,433	286	3,249	23
Simple English	Simple English	simple	218,123	707,819	8,406,119	18	1,229,683	1,023	36	59
Croatian	hrvatski	hr	213,017	442,341	6,448,437	11	278,881	468	21,015	16
Greek	Ελληνικά	el	213,000	631,905	9,638,910	22	370,924	1,055	18,526	58
Lithuanian	lietuvių	lt	204,280	500,977	6,667,592	10	167,105	331	23,868	28
Galician	galego	gl	189,204	474,607	6,166,873	8	128,782	257	323	29
Azerbaijani	azərbaycanca	az	187,218	513,304	6,600,520	17	253,019	629	23,346	39
Slovene	slovenščina	sl	177,650	440,393	5,740,808	22	214,204	317	8,318	28
Urdu	اردو	ur	176,713	999,918	5,135,931	11	150,597	302	12,657	111
Uzbek	oʻzbekcha/ўзбекча	uz	172,876	700,133	2,865,624	20	77,761	584	2,113	38
Georgian	ქართული	ka	162,902	460,953	4,403,775	6	143,585	243	14,869	31
Norwegian (Nynorsk)	norsk nynorsk	nn	162,740	372,594	3,392,671	14	122,245	137	16	15
Hindi	हिन्दी	hi	152,601	1,194,507	5,624,014	6	713,163	1,248	3,608	219
Thai	ไทย	th	149,862	977,776	10,262,780	15	431,352	1,004	27,337	320
Tamil	தமிழ்	ta	148,695	467,452	3,499,225	31	208,498	325	7,671	34
Latin	Latina	la	136,954	275,796	3,692,953	21	158,839	145	0	13
Welsh	Cymraeg	cy	136,061	276,424	11,102,390	16	74,020	106	11,275	42
Macedonian	македонски	mk	130,265	524,887	4,795,600	12	103,665	190	8,682	83
Asturian	asturianu	ast	130,023	228,843	3,712,900	11	107,344	127	0	9
Bengali	বাংলা	bn	127,316	994,148	6,078,597	13	387,425	1,181	15,594	283
Cantonese	粵語	zh-yue	126,848	286,312	1,874,112	12	244,660	277	2,630	10
Latvian	latviešu	lv	115,466	468,921	3,674,086	13	108,412	275	25,591	73
Tajik	тоҷикӣ	tg	107,828	263,068	1,310,542	6	36,318	72	485	10
Afrikaans	Afrikaans	af	104,666	373,350	2,518,808	16	153,046	187	9,618	44
Burmese	မြန်မာဘာသာ	my	103,774	217,833	757,674	4	103,777	141	2,961	4
Malagasy	Malagasy	mg	94,892	245,182	1,047,340	3	28,954	47	3	10
Bosnian	bosanski	bs	90,463	367,985	3,417,970	9	145,083	157	5,471	87
Occitan	occitan	oc	87,619	156,529	2,328,028	4	48,605	80	927	9
Marathi	मराठी	mr	86,408	287,093	2,163,073	12	146,369	176	19,140	40
Albanian	shqip	sq	86,194	263,740	2,468,400	11	144,336	210	4,732	39
Low German	Plattdüütsch	nds	83,922	162,516	990,468	4	49,161	37	0	5
Kyrgyz	кыргызча	ky	80,635	110,425	425,947	4	33,364	82	2,687	0
Malayalam	മലയാളം	ml	79,196	489,492	3,713,850	15	163,825	271	6,970	203
Belarusian (Taraškievica)	беларуская (тарашкевіца)	be-tarask	79,054	227,124	2,329,551	4	76,508	131	1,898	35
Telugu	తెలుగు	te	78,264	307,185	3,637,159	13	115,007	173	12,903	101
Swahili	Kiswahili	sw	74,798	151,503	1,242,573	14	55,513	168	2,270	8
Breton	brezhoneg	br	73,459	143,223	2,007,117	6	70,497	93	5,323	12
Newar	नेपाल भाषा	new	72,352	196,959	848,808	2	25,137	17	0	12
Javanese	Jawa	jv	71,034	179,426	1,595,352	4	54,215	98	5,430	20
Venetian	vèneto	vec	69,021	140,491	1,101,583	5	32,197	36	724	8
Haitian Creole	Kreyòl ayisyen	ht	67,982	82,075	804,802	3	28,652	46	0	0
Piedmontese	Piemontèis	pms	66,390	101,515	855,558	4	25,384	37	2,069	2
Western Punjabi	پنجابی	pnb	65,937	113,955	607,478	2	32,639	60	148	2
Sundanese	Sunda	su	61,290	97,424	629,627	7	28,515	51	545	2
Luxembourgish	Lëtzebuergesch	lb	61,085	131,701	2,393,351	5	55,378	65	2,375	24
Bashkir	башҡортса	ba	60,444	170,119	1,170,936	7	35,620	86	1,457	22
Ladin	Ladin	lld	59,963	63,849	99,218	2	2,319	13	0	——
Irish	Gaeilge	ga	57,520	96,605	1,094,436	7	52,796	90	1,124	5
Silesian	ślůnski	szl	55,879	69,182	347,893	3	21,875	39	0	0
Lombard	lombard	lmo	54,999	124,017	1,127,304	5	37,946	44	4,437	14
Icelandic	íslenska	is	54,843	141,913	1,762,521	19	87,123	139	3,218	31
Kurdish (Kurmanji)	kurdî	ku	53,994	109,309	1,095,844	3	52,075	91	564	10
Chuvash	чӑвашла	cv	49,735	98,038	763,872	2	31,357	47	537	7
West Frisian	Frysk	fy	49,468	150,749	1,088,667	8	43,664	67	7,613	30
Tagalog	Tagalog	tl	43,171	234,427	1,965,464	11	124,158	145	1,896	164
Kurdish (Sorani)	کوردی	ckb	42,962	186,319	977,766	7	51,748	184	1,606	58
Wu	吴语	wuu	42,556	56,269	298,239	4	79,044	41	135	0
Aragonese	aragonés	an	42,253	128,585	1,838,869	6	68,721	79	1,499	59
Scots	Scots	sco	40,462	146,652	863,079	4	96,036	94	690	40
Zazaki	Zazaki	diq	40,164	60,566	487,565	3	25,094	35	209	2
Punjabi	ਪੰਜਾਬੀ	pa	38,597	134,792	610,921	9	42,543	95	1,592	28
Ido	Ido	io	33,801	49,724	995,046	5	33,797	50	0	4
Nepali	नेपाली	ne	32,276	103,794	1,071,064	5	58,987	106	1,264	50
Volapük	Volapük	vo	31,726	162,997	3,276,053	2	32,483	32	0	344
Yoruba	Yorùbá	yo	31,647	56,086	554,262	3	25,067	77	168	5
Gujarati	ગુજરાતી	gu	29,985	118,207	826,984	3	69,546	90	0	60
Alemannic	Alemannisch	als	29,063	69,834	1,015,638	9	92,923	77	571	28
Kannada	ಕನ್ನಡ	kn	28,607	130,770	1,113,389	3	76,555	151	2,605	108
Bavarian	Boarisch	bar	26,813	108,719	831,155	3	63,749	59	1,320	71
Sicilian	sicilianu	scn	26,220	55,708	732,979	5	41,492	32	1,407	16
Interlingua	interlingua	ia	25,113	39,094	644,102	6	44,945	30	4	5
Bishnupriya Manipuri	বিষ্ণুপ্রিয়া মণিপুরী	bpy	25,085	62,867	886,957	3	23,574	20	45	32
Kotava	Kotava	avk	24,469	29,722	116,278	6	3,172	27	0	0
Quechua	Runa Simi	qu	23,074	55,987	650,183	2	27,319	40	0	23
Mongolian	монгол	mn	21,475	98,233	709,511	3	78,388	92	1,475	92
Navajo	Diné bizaad	nv	20,567	34,747	296,249	2	15,237	9	712	4
Crimean Tatar	qırımtatarca	crh	20,177	40,221	178,474	2	17,979	32	0	4
Mingrelian	მარგალური	xmf	19,660	36,632	187,372	3	17,169	30	0	3
Hausa	Hausa	ha	18,215	32,193	169,808	4	18,726	128	0	3
Sinhalese	සිංහල	si	18,077	80,356	512,677	3	58,692	80	3,115	75
Samogitian	žemaitėška	bat-smg	17,099	29,127	355,652	5	24,238	26	109	6
Ossetian	ирон	os	16,300	60,119	525,498	3	22,686	31	164	63
North Frisian	Nordfriisk	frr	16,159	41,417	232,129	5	18,093	26	1,328	13
Odia	ଓଡ଼ିଆ	or	15,960	72,019	462,884	6	31,222	51	125	79
Scottish Gaelic	Gàidhlig	gd	15,916	32,220	567,066	6	25,707	36	347	18
Pashto	پښتو	ps	15,753	54,913	284,672	1	27,977	47	1,734	32
Balinese	Basa Bali	ban	15,653	31,346	124,109	3	5,510	35	113	——
Eastern Min	Mìng-dĕ̤ng-ngṳ̄	cdo	15,572	31,404	90,273	4	19,054	25	0	2
Yiddish	ייִדיש	yi	15,393	44,237	579,584	3	45,665	40	1,062	46
Buginese	ᨅᨔ ᨕᨘᨁᨗ	bug	15,392	19,640	200,895	1	12,313	20	0	0
Ilokano	Ilokano	ilo	15,362	70,190	391,968	2	16,246	18	0	71
Sindhi	سنڌي	sd	15,252	56,254	240,432	4	15,856	27	145	30
Amharic	አማርኛ	am	15,051	45,969	371,847	2	39,510	60	1,766	34
Neapolitan	Napulitano	nap	14,731	23,715	664,708	3	27,840	18	281	10
Sakha	саха тыла	sah	14,417	47,868	382,848	3	22,309	41	1,765	43
Upper Sorbian	hornjoserbsce	hsb	13,834	35,397	377,510	4	23,144	32	133	25
Faroese	føroyskt	fo	13,797	40,285	368,980	3	27,046	35	0	33
Limburgish	Limburgs	li	13,775	65,642	454,542	7	26,627	23	623	98
Banyumasan	Basa Banyumasan	map-bms	13,752	30,212	213,311	1	14,986	18	462	10
Maithili	मैथिली	mai	13,724	39,377	229,822	5	11,853	30	115	20
Mazanderani	مازِرونی	mzn	13,447	30,445	165,914	3	30,454	31	263	8
Gorontalo	Bahasa Hulontalo	gor	13,342	20,973	50,986	2	4,090	24	0	——
Emilian-Romagnol	emiliàn e rumagnòl	eml	13,012	35,076	152,515	3	23,472	28	2,742	12
Acehnese	Acèh	ace	12,554	26,493	137,442	3	24,277	27	0	6
Central Bikol	Bikol Central	bcl	12,365	33,311	234,448	3	19,847	39	865	20
Sanskrit	संस्कृतम्	sa	11,781	70,480	470,131	4	35,629	82	445	165
Shan	ၽႃႇသႃႇတႆး	shn	11,736	27,311	55,340	2	3,323	13	61	3
Walloon	walon	wa	11,596	27,327	389,175	4	22,366	32	615	26
Classical Chinese	文言	zh-classical	11,527	97,413	381,249	6	94,882	55	0	217
Interlingue	Interlingue	ie	11,376	15,179	151,478	3	17,008	34	0	1
Ligurian	Ligure	lij	11,032	26,631	233,796	8	14,572	25	7	17
